Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73404,75006,2022-09-30 23:57:25 EDT,2022-09-30,23:57:25,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/515380427261426,Objavljena i fotografija sa mjesta zločina...,https://www.slobodna-bosna.ba/vijest/269654/ko_je_likvidiran_u_panami_nakon_vijesti_o_ubistvu_vodje_kavachkog_klana_oglasio_se_advokat_porodice_zvicer.html,,,"KO JE LIKVIDIRAN U PANAMI: Nakon vijesti o ubistvu vođe kavačkog klana, oglasio se advokat porodice Zvicer...","Prema pisanju portala Critica, nepoznati muškarac likvidiran je iz vatrenog oružja dok je vozio bijeli automobil, a sumnja se, kako se navodi, da je u zločinu učestvovalo više osoba. ... - KO JE LIKVIDIRAN U PANAMI: Nakon vijesti o ubistvu vođe kavačkog klana, oglasio se advokat porodice Zvic...",,,,-33
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73404,75006,2022-09-30 23:47:46 EDT,2022-09-30,23:47:46,Link,6,1,0,0,0,0,5,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/515374767261992,Smijeh je lijek :),https://www.slobodna-bosna.ba/vijest/269653/vic_dana_nazvao_muju_jaran_iz_zagreba_da_ga_pita_za_koga_ce_glasati_na_izborima_a_onda_urnebes.html,,,"VIC DANA: Nazvao Muju jaran iz Zagreba da ga pita za koga će glasati na izborima, a onda – urnebes…","Nasmijte se uz naš odabir vica dana! ... - VIC DANA: Nazvao Muju jaran iz Zagreba da ga pita za koga će glasati na izborima, a onda – urnebes… | Slobodna Bosna",,,,-5.5
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73404,75006,2022-09-30 23:40:02 EDT,2022-09-30,23:40:02,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/515368660595936,Spektakl u Munchenu....,https://www.slobodna-bosna.ba/vijest/269652/demonstracija_sile_pogledajte_kako_je_bayern_demolirao_leverkusen_u_velikom_derbiju_bundeslige_video.html,,,DEMONSTRACIJA SILE: Pogledajte kako je Bayern demolirao Leverkusen u velikom derbiju Bundeslige (VIDEO),"Bayern se ovom pobjedom popeo na drugo mjesto s 15 bodova, dok je Bayer ostao 16. sa 'samo' pet bodova. ... - DEMONSTRACIJA SILE: Pogledajte kako je Bayern demolirao Leverkusen u velikom derbiju Bundeslige (VIDEO) | Slobodna Bosna",,,,-66
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73404,75006,2022-09-30 23:32:18 EDT,2022-09-30,23:32:18,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/515364913929644,Početak oktobra donosi promjenu vremena...,https://www.slobodna-bosna.ba/vijest/269651/stize_promjena_vremena_donosimo_prognozu_za_narednih_nekoliko_dana.html,,,STIŽE PROMJENA VREMENA: Donosimo prognozu za narednih nekoliko dana,"Danas u Bosni i Hercegovini, jutro umjereno do pretežno oblačno uz postepeno smanjenje oblačnosti. ... - STIŽE PROMJENA VREMENA: Donosimo prognozu za narednih nekoliko dana | Slobodna Bosna",,,,-33
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11396,11910,2022-09-30 23:30:05 EDT,2022-09-30,23:30:05,Link,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193345509723910,"Kada je riječ o eleganciji, ova tri znaka mogu svima da “drže časove”",https://aloonline.ba/astro/horoskop/mogu-svima-da-drze-casove-ovo-su-tri-najelegantnija-znaka-u-horoskopu/,,,MOGU SVIMA DA DRŽE ČASOVE Ovo su tri najelegantnija znaka u horoskopu,Rak: Za njih je elegancija i diskrecija kao i lijepo ponašanje Rakovi zauzimaju treće mjesto po elegantnosti. Njihovo ponašanje kada se nađu na nekom skupu isijava pravu i iskrenu sofisticiranost sve od gestova prema drugim ljudima do predstavljanja. Važe za osobe koje znaju kako da se ponašaj...,,,,-10.5
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11396,11910,2022-09-30 23:00:10 EDT,2022-09-30,23:00:10,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193342193057575,"Srećom, niko nije povrijeđen, a nastala je veća materijalna šteta",https://aloonline.ba/vijesti/nevjerovatan-snimak-iz-okoline-gruda-kamion-udario-u-benzinsku-pumpu/,,,NEVJEROVATAN SNIMAK IZ OKOLINE GRUDA Kamion udario u benzinsku pumpu,"Nesvakidašnja saobraćajna nesreća dogodila se u utorak u Drinovcima u kojoj je učestvovao jedan kamion, javlja portal „Grude Online“. Nesreća se dogodila oko 11:45 sati. Kako se vidi na snimku, kamion koji je dolazio na benzinsku pumpu se nije na vrijeme zaustavio, pa je zadnjim krajem udar...",,,,-21
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,189114,205104,2022-09-30 23:00:09 EDT,2022-09-30,23:00:09,Link,27,16,7,0,0,0,3,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5140112439426590,"Trebamo osloboditi cijelu svoju teritoriju i to će biti najbolji dokaz da međunarodno pravo i ljudske vrijednosti ne može kršiti ni jedna drska država poput Rusije, kazao je Zelenski",https://www.oslobodjenje.ba/vijesti/svijet/zelenski-radimo-na-pobjedi-imamo-znacajne-rezultate-na-istoku-nase-zemlje-797099,,,"Zelenski: Radimo na pobjedi, imamo značajne rezultate na istoku naše zemlje","Trebamo osloboditi cijelu svoju teritoriju i to će biti najbolji dokaz da međunarodno pravo i ljudske vrijednosti ne može kršiti ni jedna drska država poput Rusije, kazao je Zelenski",,,,-2.26
Poskok Online,Poskok.info,100063857810649,NEWS_SITE,HR,Poskok Online je facebook inačica portala Poskok.Info: https://poskok.info,2009-10-22 14:00:45,34521,49288,2022-09-30 22:40:00 EDT,2022-09-30,22:40:00,Link,31,17,7,1,1,0,0,2,3,0,,-,0,0,0,N/A,https://www.facebook.com/100063857810649/posts/496351269170129,"Dragan Bursać hvali kumu serijskog silovatelja Srpkinja u Dretelju kojeg je dotična Štefavo Gorda Glupost na tako debilan način ekranizirala u svom pompoznom filmu kao junaka i humanistu. Iako je znala da je optužen da je bio šef Dretelja i Gabele, da je tjerao zarobljene JNA ročnike da pasu travu i da se svojim žrtvama, Srpkinjama koje je silovao, prije zločina predstavljao kao ""'ustaški časnik"". Hvala ti Bursać što građane učiš da su ustaške kume i ustaške kuje nova bosanska vrijednost po mjeri Željka Komšića i tebe, rastuće zvezde svakog NGO granta. I u NDH je zagovarana jednakost glasa više rase dok se nižu srpsku rasu nazivalo ""manjinom s viškom prava koja može stati u par vagona"". Podsjeća li te to na nešto o ""neovisni"" novinaru?",https://www.facebook.com/1125683621/posts/pfbid02gyzUMpckS2oSAcs73Ym4wFYQio3wsz4nUkX64umTPP433zDhmtuNm8jiEtW6VZAhl/,,,This is a re-share of a post,"BRAVO Štefica Galić!!!!! Po sto puta bravo!
A svim onim koji ne misle tako, želim jedan dan u koži ove heroine, pa neka se prošetaju malo zapadnim Mostarom!

“Neki hrvatski novinari koji ne mogu sakriti mržnju prema Željku Komšiću i nazivaju njegov izbor kao 'lažnog ili prigodnog Hrvata' 'političkim nasiljem' nad jadnim napaćenim, ugroženim najmalobrojnijim hrvatskim narodom. Pa pišu: ""Kao malo kad u povijesti, ukoliko isključimo Domovinski rat, trenutna politička situacija u BiH zahtjeva sveopće jedinstvo koje će se ogledati kroz masovan izlazak na nedjeljne izbore. Ovo je referendum o tome, hoće li nam izbornim inženjeringom brojniji narod oduzeti naša prava ili ćemo svoje predstavnike izabrati sami te urediti ovu državu po mjeri tri konstitutivna naroda kako je to zapisano u Daytonu....."" 
Ne znam zašto se zovu Novosti ili Brotnjoinfo ili ne znam kako, a ne hadezovskim vojnicima koji dilaju mržnju. Pa bujrum kupljeni robovi glasajte za one kojima ste dužni radna mjesta, stanove, auta, odlaske iz ove zemlje... Ali prije prošetajte pored Čovićeve hacijende pa vidite zašto ste VI ugroženi a ON nije. Glasajte za sve kriminalce ko vam brani. Ostavljate ih svojoj djeci ako vam već nisu pobjegli van granica. Ali odjebite više s tom spikom o  najmnogobrojnijem narodu i preglasavanju. Eto su i hrvatske i srpske snage u ratu radile na njegovom uništenju pa nisu uspjele oružjem a neće ni lajanjem. Množite se i vi ko vam brani. Neka dođu i Plenković i Milanović pa vam pomažu i po tom pitanju. Imate ustav BiH na internetu dostupan, pročitajte kako se biraju delegati na sve nivoe vlasti i mrš više s tim lažnim narativom o ugrozi. 
Za Komšića glasaju građani BiH jer nije kriminalac, jer voli našu zemlju i sve njene poštene ljude, jer želi ista prava za sve njene građane.....Zamislite da je bio Čović umjesto Komšića u predsjedništvu zadnje četiri godine, s Dodikom bi završio raspad BiH. Razmislite o tome do nedjelje pa odlučite - do nas je kako će nam sutra biti.“",,,,-1.03
Poskok Online,Poskok.info,100063857810649,NEWS_SITE,HR,Poskok Online je facebook inačica portala Poskok.Info: https://poskok.info,2009-10-22 14:00:45,34521,49288,2022-09-30 22:21:54 EDT,2022-09-30,22:21:54,Photo,68,33,21,0,0,0,14,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063857810649/posts/496342285837694,"Kaže se ""uspješna praška odvjetnica s diplomom češkog sveučilišta"". Zar je tako strašno pisati hrvatskim i uporabiti riječ ""diploma"" Komšićev prištu?",https://www.facebook.com/photo.php?fbid=655956225888795&set=a.240094220808333&type=3,,,Martina Mlinarević,"Uvijek sam sretna kad mogu upoznati naše ljude koji u Češkoj grade velike karijere, a kroz njih su radom stalno naslonjeni na pomoć i suradnju s domovinom. Azra Drozdek kao sedmogodišnja djevojčica došla je u Češku devedesetih, a danas je uspješna praška advokatica. ❤",,,,1.45
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,546039,719889,2022-09-30 22:00:35 EDT,2022-09-30,22:00:35,Link,791,279,396,6,9,5,47,3,42,4,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5620901691328360,'Radimo to za veliku Rusiju' ⬇️,https://balkans.aljazeera.net/videos/2022/9/30/putin-stavio-potpis-na-aneksiju-radimo-to-za-veliku-rusiju,,,Putin stavio potpis na aneksiju: Radimo to za veliku Rusiju,"Ruski predsjednik Vladimir Putin više je puta spomenuo veliku Rusiju, a raspad Sovjetskog Saveza nazvao najvećom katastrofom prošlog stoljeća.",,,,3.3
