Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73485,74975,2022-09-14 23:57:39 EDT,2022-09-14,23:57:39,Link,15,9,3,0,0,0,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/500559332076869,O opasnoj braći pišu ugledni svjetski mediji...,https://www.slobodna-bosna.ba/vijest/267277/braca_iz_bosne_i_hercegovine_siju_strah_chovjek_zbog_kojeg_su_duge_cijevi_na_ulicama_grada_u_hrvatskoj_vodja_je_opasne_bande_koja_je_zabranjena_u_njemachkoj.html,,,BRAĆA IZ BOSNE I HERCEGOVINE SIJU STRAH: Čovjek zbog kojeg su duge cijevi na ulicama grada u Hrvatskoj vođa je opasne bande koja je zabranjena u Njemačkoj...,Bio je putnik u Land Roveru njemačkih tablica i očito nije znao da je za njim na snazi međunarodna Interpolova tjeralica Švicarske. ... - BRAĆA IZ BOSNE I HERCEGOVINE SIJU STRAH: Čovjek zbog kojeg su duge cijevi na ulicama grada u Hrvatskoj vođa je opasne bande koja je zabranjena u Njemačkoj...,,,,-2.4
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73485,74975,2022-09-14 23:49:41 EDT,2022-09-14,23:49:41,Link,71,2,43,0,0,0,20,0,6,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/500554272077375,Bivši odvjetnik Ante Gotovine poznat je po nacionalističkim stavovima...,https://www.slobodna-bosna.ba/vijest/267276/drustvene_mreze_gore_luka_misetic_uzburkao_duhove_da_nije_bilo_hrvatske_vojske_rs_bi_proglasila_neovisnost_od_bih_prema_deklaraciji_izetbegovica_i_krajisnika.html,,,DRUŠTVENE MREŽE GORE: Luka Mišetić uzburkao duhove -'Da nije bilo Hrvatske vojske RS bi proglasila neovisnost od BiH prema deklaraciji Izetbegovića i Krajišnika',Mišetić je odgovorio na objavu Reufa Bajrovića. ... - DRUŠTVENE MREŽE GORE: Luka Mišetić uzburkao duhove -'Da nije bilo Hrvatske vojske RS bi proglasila neovisnost od BiH prema deklaraciji Izetbegovića i Krajišnika' | Slobodna Bosna,,,,1.97
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73485,74975,2022-09-14 23:41:02 EDT,2022-09-14,23:41:02,Link,15,5,6,1,0,0,2,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/500549785411157,Sad je sve jasno...,https://www.slobodna-bosna.ba/vijest/267275/skandalozno_milorad_dodik_priznao_da_prisluskuje_americhkog_ambasadora_pogledajte_sta_je_sve_rekao_u_brchkom.html,,,"SKANDALOZNO: Milorad Dodik priznao da prisluškuje američkog ambasadora, pogledajte šta je sve rekao u Brčkom...","Ovo priznanje je došlo istoga dana kada se ambasador Murphy u Banjoj Luci susreo sa ministrom unutrašnjih poslova Republike Srpske i Dodikovim stranačkim kolegom Draganom Lukačem. ... - SKANDALOZNO: Milorad Dodik priznao da prisluškuje američkog ambasadora, pogledajte šta je sve rekao u Brčk...",,,,-2.47
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73485,74975,2022-09-14 23:34:17 EDT,2022-09-14,23:34:17,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/500545432078259,Smijeh je lijek :),https://www.slobodna-bosna.ba/vijest/267274/vic_dana_nazvao_muju_jaran_iz_londona_da_mu_ispricha_vic_o_bosnjacima_a_onda_urnebes.html,,,"VIC DANA: Nazvao Muju jaran iz Londona da mu ispriča vic o Bošnjacima, a onda – urnebes…","Nasmijte se uz naš odabir vica dana! ... - VIC DANA: Nazvao Muju jaran iz Londona da mu ispriča vic o Bošnjacima, a onda – urnebes… | Slobodna Bosna",,,,-74
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188858,204655,2022-09-14 23:30:03 EDT,2022-09-14,23:30:03,Link,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5094955533942281,"Na objektu ove sarajevske škole biće zamijenjena stolarija, što će osigurati dodatne uštede",https://www.oslobodjenje.ba/vijesti/sarajevo/toplije-ucionice-za-novogradske-dake-osigurani-mnogo-bolji-uslovi-rada-u-skoli-792185,,,Toplije učionice za novogradske đake: Osigurani mnogo bolji uslovi rada u školi,"Na objektu OŠ “Osman Nuri Hadžić” u općini Novi Grad biće zamijenjena stolarija, što će osigurati dodatne uštede",,,,-17.33
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73485,74975,2022-09-14 23:18:18 EDT,2022-09-14,23:18:18,Link,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/500536605412475,Video otkriva sve...,https://www.slobodna-bosna.ba/vijest/267273/zuta_minuta_luke_donchica_galamio_psovao_sudije_pa_sve_stao_pred_kamere_bio_sam_uzasan.html,,,"ŽUTA MINUTA LUKE DONČIĆA: Galamio, psovao sudije, pa sve stao pred kamere -'Bio sam užasan...'","Novinari su pitali Dončića i što misli o sudijama, a on je promijenio temu. ... - ŽUTA MINUTA LUKE DONČIĆA: Galamio, psovao sudije, pa sve stao pred kamere -'Bio sam užasan...' | Slobodna Bosna",,,,-37
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73485,74975,2022-09-14 23:08:32 EDT,2022-09-14,23:08:32,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/500531352079667,Svemu jednom dođe kraj...,https://www.slobodna-bosna.ba/vijest/267272/zbogom_ljeto_evo_kakvo_nas_vrijeme_ochekuje_u_narednih_nekoliko_dana.html,,,"ZBOGOM, LJETO: Evo kakvo nas vrijeme očekuje u narednih nekoliko dana","Danas umjereno do pretežno oblačno vrijeme. ... - ZBOGOM, LJETO: Evo kakvo nas vrijeme očekuje u narednih nekoliko dana | Slobodna Bosna",,,,-37
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11392,11907,2022-09-14 23:00:05 EDT,2022-09-14,23:00:05,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/190773863314408,"Gledanost Netfliksove serije ""Kruna"" drastično je porasla tokom prethodnog vikenda, nakon vijesti o smrti kraljice Elizabete Druge.",https://aloonline.ba/poznati/serija-o-elizabeti-ii-4-puta-gledanija-nakon-kraljicine-smrti/,,,"SERIJA O ELIZABETI II 4 PUTA GLEDANIJA NAKON KRALJIČINE SMRTI ""Kruna"" doživjela nezabilježen skok gledanosti","Gledanost Netfliksove serije ""Kruna"" drastično je porasla tokom prethodnog vikenda, nakon vijesti o smrti kraljice Elizabete Druge.",,,,-42
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188858,204655,2022-09-14 23:00:03 EDT,2022-09-14,23:00:03,Link,4,3,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5094946293943205,Okruženi smo sa previše besmislica - poručio je Sattler,https://www.oslobodjenje.ba/vijesti/bih/bih-je-prepuna-prica-koje-bude-nadu-792437,,,BiH je prepuna priča koje bude nadu,"U Sarajevu je predstavljen projekat Jačanje povjerenja i kohezije u zajednicama u BiH, na kojem udruženo rade EU, UN, Vijeće Evrope i Misija OSCE-a u BiH",,,,-13.25
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188858,204655,2022-09-14 22:39:00 EDT,2022-09-14,22:39:00,Link,5,2,1,0,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5095028313935003,"Kako biste ih smanjili, evo šta ćete uraditi kako biste zaustavili protok električne energije👇",https://www.oslobodjenje.ba/magazin/zanimljivosti/energetski-vampiri-ovi-uredaji-trose-najvise-elektricne-energije-cak-i-kad-ih-ne-koristite-792550,,,Energetski vampiri: Ovi uređaji troše najviše električne energije čak i kad ih ne koristite,"Kako biste ih smanjili, izvucite utičnicu uređaja i tako zaustavite protok električne energije",,,,-10.4
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11392,11907,2022-09-14 22:00:02 EDT,2022-09-14,22:00:02,Link,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/190767713315023,Nikad prisniji,https://aloonline.ba/poznati/marko-markovic-u-krevetu-sa-ovom-zadrugarkom-staniji-nece-biti-dobro-kada-sazna-za-nestasluke-bivseg/,,,MARKO MARKOVIĆ U KREVETU SA OVOM ZADRUGARKOM Staniji neće biti dobro kada sazna za nestašluke bivšeg,"Marko Marković odlučio je da pred spavanje posjeti i Milicu Veselinović, pa je otišao do njenog kreveta i obavio maratonski razgovor sa njom.",,,,-10.5
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,546047,719054,2022-09-14 22:00:00 EDT,2022-09-14,22:00:00,Link,71,57,8,3,0,2,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5573136986104831,Od 2006. osvaja najviše vrhove ⤵️,https://balkans.aljazeera.net/news/sports/2022/9/14/nepalac-se-na-sve-vrhove-iznad-8-000-metara-popeo-po-dva-puta,,,Nepalac se na sve vrhove iznad 8.000 metara popeo po dva puta,"Do sada je samo 50 alpinista uspjelo u poduhvatu osvajanja svih 14 najviših vrhova svijeta, a Sanu Sherpa je nedavno po drugi put u životu stigao na vrh Gasherbrum II (8.035 metara) u Pakistanu.",,,,-3.14
