Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74979,2022-09-16 23:55:43 EDT,2022-09-16,23:55:43,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/502262081906594,Smijeh je lijek :),https://www.slobodna-bosna.ba/vijest/267571/vic_dana_pitala_uchiteljica_malog_pericu_sta_je_to_demokratija_a_onda_urnebes.html,,,"VIC DANA: Pitala učiteljica malog Pericu šta je to demokratija, a onda – urnebes…","Nasmijte se uz naš odabir vica dana! ... - VIC DANA: Pitala učiteljica malog Pericu šta je to demokratija, a onda – urnebes… | Slobodna Bosna",,,,-64
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74979,2022-09-16 23:48:17 EDT,2022-09-16,23:48:17,Link,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/502258251906977,Snimak otkriva glavnog krivca...,https://www.slobodna-bosna.ba/vijest/267570/haos_u_turskoj_golman_reprezentacije_bosne_i_hercegovine_izgubio_zivce_i_dobio_crveni_karton_pogledajte_ko_je_za_sve_kriv.html,,,"HAOS U TURSKOJ: Golman reprezentacije Bosne i Hercegovine izgubio živce i dobio crveni karton, pogledajte ko je za sve kriv…","Prvi golman Zmajeva dobio je žuti karton u 86. minuti, a samo tri minute kasnije i drugi, nakon incidenta na terenu. ... - HAOS U TURSKOJ: Golman reprezentacije Bosne i Hercegovine izgubio živce i dobio crveni karton, pogledajte ko je za sve kriv… | Slobodna Bosna",,,,-16
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74979,2022-09-16 23:36:14 EDT,2022-09-16,23:36:14,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/502251921907610,Drastična promjena vremena...,https://www.slobodna-bosna.ba/vijest/267569/grmi_sijeva_oluja_se_sprema_upozorenje_na_bujichne_poplave_a_bit_ce_i_snijega.html,,,"GRMI, SIJEVA, OLUJA SE SPREMA: Upozorenje na bujične poplave, a bit će i snijega…","Danas u Bosni i Hercegovini oblačno vrijeme s kišom, pljuskovima i grmljavinom. ... - GRMI, SIJEVA, OLUJA SE SPREMA: Upozorenje na bujične poplave, a bit će i snijega… | Slobodna Bosna",,,,-64
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188883,204705,2022-09-16 23:30:02 EDT,2022-09-16,23:30:02,Link,84,17,47,1,1,1,9,1,7,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5100463236724844,Suverena BiH je mnogima trn u oku,https://www.oslobodjenje.ba/okanal/vijesti/ko-to-tamo-ratom-prijeti-ruska-finansijska-pomoc-i-mijenjanje-granica-793197,https://okanal.oslobodjenje.ba/okanal/vijesti/ko-to-tamo-ratom-prijeti-ruska-finansijska-pomoc-i-mijenjanje-granica-793197,,Ko to tamo ratom prijeti: Ruska finansijska pomoć i mijenjanje granica,Suverena BiH je mnogima trn u oku,,,,1.68
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11395,11906,2022-09-16 23:00:04 EDT,2022-09-16,23:00:04,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/191101889948272,"Ako patite od hroničnog umora ili se osjećate iscrpljenije nego inače, a ne možete ga se nikako riješiti, posavjetujte se s ljekarom kako bi vas uputio na dodatne pretrage.",https://aloonline.ba/zena/savjeti/hronicna-iscrpljenost-moze-da-ukazuje-na-mnostvo-stvari-zasto-osjecate-stalni-umor/,,,HRONIČNA ISCRPLJENOST MOŽE DA UKAZUJE NA MNOŠTVO STVARI Zašto osjećate stalni umor?,"Ako patite od hroničnog umora ili se osjećate iscrpljenije nego inače, a ne možete ga se nikako riješiti, posavjetujte se s ljekarom kako bi vas uputio na dodatne pretrage.",,,,-42
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188883,204705,2022-09-16 23:00:04 EDT,2022-09-16,23:00:04,Link,73,18,36,1,1,0,11,1,2,3,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5100461546725013,"Mađarski stav je od briselskog daleko, 2.000 kilometara, poručio je Orban",https://www.oslobodjenje.ba/vijesti/svijet/orban-ne-krije-odusevljenost-putinom-evo-kako-je-opisao-odnos-snaga-evrope-i-rusije-793200,,,Orban ne krije oduševljenost Putinom: Evo kako je opisao odnos snaga Evrope i Rusije,"Mađarski stav je od briselskog daleko, 2.000 kilometara, poručio je Orban",,,,1.46
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188883,204705,2022-09-16 22:30:00 EDT,2022-09-16,22:30:00,Link,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5100466013391233,Iz sindikata radnika u zdravstvu očekuju da će sastanak s predstavnicima Vlade Tuzlanskog kantona biti održan,https://www.oslobodjenje.ba/vijesti/bih/vlada-tk-a-nije-pristala-na-povecanje-satnice-zdravstvenim-radnicima-odluka-o-generalnom-strajku-jos-je-na-snazi-793057,,,Vlada TK-a nije pristala na povećanje satnice zdravstvenim radnicima: Odluka o generalnom štrajku još je na snazi,Iz sindikata radnika u zdravstvu očekuju da će sastanak s predstavnicima Vlade Tuzlanskog kantona biti održan,,,,-16.67
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11391,11905,2022-09-16 22:00:06 EDT,2022-09-16,22:00:06,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/191094649948996,Tamara ne prestaje plakati,https://aloonline.ba/poznati/tamara-neutjesno-lije-suze/,,,"TAMARA NEUTJEŠNO LIJE SUZE Zadrugarka u strahu od ovoga - jeca u dvorištu, ne može doći sebi",Zadrugarka Tamara Ćosić osamila se u dvorištu i zaplakala pred kamerama zbog sumnje da njen emotivni partner neće uspjeti da joj ostane veran dok je ona u rijalitiju.,,,,-42
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,546025,719097,2022-09-16 22:00:00 EDT,2022-09-16,22:00:00,Link,10,8,1,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5579143762170820,"Hrvatsko novinarsko društvo traži da nova, nezavisna komisija provede istragu i utvrdi postoje li propusti u radu medicinskih radnika i njihovih nadređenih u slučaju smrti Vladimira Matijanića. ⤵️",https://balkans.aljazeera.net/teme/2022/9/16/hrvatski-novinari-ne-dopustaju-da-se-zaboravi-smrt-vladimira-matijanica,,,Novinari ne dopuštaju da se zaboravi Matijanićeva smrt,"Hrvatsko novinarsko društvo traži da nova, nezavisna komisija provede istragu i utvrdi postoje li propusti u radu medicinskih radnika i njihovih nadređenih u slučaju smrti Vladimira Matijanića.",,,,-18.9
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188868,204674,2022-09-16 22:00:00 EDT,2022-09-16,22:00:00,Link,7,1,3,1,0,0,0,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5100478040056697,"Prijava je paušalna i bez konkretnih stvari, što jasno ukazuje da je u pitanju politikanstvo čiji je cilj diskreditacija, pogotovo zbog ovih izbora koji dolaze, rekao je Mitrović",https://www.oslobodjenje.ba/vijesti/bih/mitrovic-komentarisao-krivicnu-prijavu-ti-bih-zbog-pravilnika-o-registraciji-vozila-nema-krsenja-zakona-zele-me-diskreditovati-793211,,,"Mitrović komentarisao krivičnu prijavu TI BiH zbog Pravilnika o registraciji vozila: Nema kršenja zakona, žele me diskreditovati","Prijava je paušalna i bez konkretnih stvari, što jasno ukazuje da je u pitanju politikanstvo čiji je cilj diskreditacija, pogotovo zbog ovih izbora koji dolaze, rekao je Mitrović",,,,-7.14
