Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11397,11912,2022-10-01 23:30:04 EDT,2022-10-01,23:30:04,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193505349707926,"Brzo, jednostavno, a zdravo",https://aloonline.ba/zena/recepti/okus-koji-osvaja-na-prvu-sarena-pita-sa-sunkom-i-brokulom/,,,OKUS KOJI OSVAJA NA PRVU Šarena pita sa šunkom i brokulom,"Sastojci: 5 jaja 360 g kisele pavlake 120 ml ulja 250 g brašna 1/2 praška za pecivo 200 g kuhane šunke 250 g tvrdog sira 1 crvena paprika 200 g svježeg brokule so, biber Priprema: 1. Pjenasto umutiti jaja pa podati pavlaku i ulje i ponovo umutiti. 2. U umućenu smjesu postepeno dodavati brašno ...",,,,-42
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11397,11912,2022-10-01 23:00:03 EDT,2022-10-01,23:00:03,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193501903041604,Da li ste primijetili kod sebe neki od ovih simptoma?,https://aloonline.ba/zena/zdravlje/jesen-zdravlje-simptomi/,,,KAKO JESEN UTIČE NA ZDRAVLJE? Ovih 5 simptoma uzrokuje promjena vremena i hladnije vrijeme,"Ljekari specijalisti pojasnili kako promjena vremena, niže temperature te jesenski uslovi utiču na zdravlje ljudi, te kako pomoći tijelu da se lakše nosi s promjenom godišnjeg doba. JAVLJA SE BOL Od osjećaja depresije do manjka energije, pa čak i do učestalijih srčanih udara sve su to poslj...",,,,-42
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,546039,719889,2022-10-01 22:00:41 EDT,2022-10-01,22:00:41,Link,20,13,3,1,0,0,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5622224161196113,Vlada Švicarske objavila je kako će privremeno ublažiti propise o upotrebi vode kako bi četrdesetak hidroelektrana moglo povećati proizvodnju i spriječiti nestašicu struje ove zime.. ⬇,https://balkans.aljazeera.net/news/world/2022/10/1/svicarska-ublazava-propise-o-potrosnji-vode-radi-proizvodnje-struje,,,Švicarska ublažava propise o potrošnji vode radi proizvodnje struje,Povećani proizvodni kapacitet otprilike odgovara godišnjoj proizvodnji hidroelektrane na rijeci Aare ili 30 posto rezervi hidroenergije koju je Vlada zatražila za ovu zimu.,,,,-11.65
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11397,11912,2022-10-01 22:00:07 EDT,2022-10-01,22:00:07,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193495496375578,Užitak za sva čula,https://aloonline.ba/zena/recepti/francuska-topla-cokolada-uz-ova-dva-sastojka-cijela-kuca-ce-da-zamirise/,,,FRANCUSKA TOPLA ČOKOLADA Uz ova dva sastojka cijela kuća će da zamiriše,"Napravite toplu čokoladu kao da ste Francuz i uživajte u ukusu. Zbog vanile i cimeta kućom se širi divan miris, priprema je zaista jednostavna.",,,,-42
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11397,11912,2022-10-01 21:00:01 EDT,2022-10-01,21:00:01,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193489146376213,Uradite same,https://aloonline.ba/zena/savjeti/kako-skinuti-gel-lak-kod-kuce/,,,KORISNI SAVJETI Kako da sami skinete gel lak kod kuće?,"Većina žena misli da je mnogo teško skinuti gel lak, ali mi ćemo vam pokazati kako da to sami uradite kod kuće i to bez problema.",,,,-42
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,189114,205104,2022-10-01 20:30:02 EDT,2022-10-01,20:30:02,Link,3,2,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5142392079198626,"Zahtjev Ukrajine za prijem u NATO trebalo bi proceduralno razmotriti u neko drugo vrijeme, izjavio je savjetnik američkog predsjednika za nacionalnu bezbjednost",https://www.oslobodjenje.ba/vijesti/svijet/rusija-aneksira-ukrajina-trazi-pristup-nato-u-a-evo-sta-su-oni-odgovorili-sada-je-najbolji-nacin-da-797184,,,"Rusija aneksira, Ukrajina traži pristup NATO-u, a evo šta su oni odgovorili: Sada je najbolji način da...","Zahtjev Ukrajine za prijem u NATO trebalo bi proceduralno razmotriti u neko drugo vrijeme, izjavio je savjetnik američkog predsjednika za nacionalnu bezbjednost Džejk Saliven, prenosi Euronews. - P...",,,,-19.67
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,546039,719889,2022-10-01 20:00:22 EDT,2022-10-01,20:00:22,Link,53,26,15,2,0,1,5,4,0,0,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5622500324501830,Rekordan broj testiranja.. ⬇,https://balkans.aljazeera.net/news/world/2022/10/1/sjeverna-koreja-ispalila-jos-dvije-balisticke-rakete,,,Sjeverna Koreja ispalila još dvije balističke rakete,"Dvije rakete kratkog dometa lansirane su iz Sunana, sjeverno od Pjongjanga; procijenjeni domet raketa je 350 kilometara, a letjele su na visini od 30 kilometara brzinom od šest maha.",,,,-4.4
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,189114,205104,2022-10-01 20:00:07 EDT,2022-10-01,20:00:07,Link,108,77,19,2,0,0,8,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5142391095865391,Turska je saopćila da odbacuje odluku Rusije o aneksiji četiri ukrajinske regije kao što nije priznala ni aneksiju Krima 2014. godine.,https://www.oslobodjenje.ba/vijesti/svijet/turska-osudila-odluku-rusije-da-anektira-regije-ukrajine-necemo-priznati-referendum-to-je-krsenje-797180,,,"Turska osudila odluku Rusije da anektira regije Ukrajine: Nećemo priznati referendum, to je kršenje...",Turska je danas saopćila da odbacuje odluku Rusije o aneksiji četiri ukrajinske regije kao što nije priznala ni aneksiju Krima 2014. godine. Ministarstvo vanjskih poslova Turske navelo je kako odl...,,,,1.83
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11396,11910,2022-10-01 20:00:07 EDT,2022-10-01,20:00:07,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193483389710122,Vikao je na sav glas,https://aloonline.ba/poznati/zadruga-petruci-pica-otimanje/,,,"OVO NIKAD NIKSAM VIDIO! KOJI VAM JE K**AC? Petrući: ""Gadi mi se, neću da jedem"" (VIDEO)","Nakon završene „Igre istine“, zadrugarima je stigla hrana, neki su strpljivo čekali sa strane, dok su drugi nestrpljivo hrlili da uzmu nagradu. – Polako, šta vam je , je*em vas u usta, ovo nisam vidio u životu – rekao je Kristijan. – Ja ovo nisam vidio u životu – kazao je Marko. –...",,,,-42
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,189114,205104,2022-10-01 19:30:02 EDT,2022-10-01,19:30:02,Link,4,1,2,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5142390192532148,"Nakon pauze prouzrokovane pandemijom koronavirusa, u petak je u Bečićima, Crna Gora, počeo deveti Samit ministara finansija, guvernera i direktora poreskih uprava regiona",https://www.oslobodjenje.ba/vijesti/ekonomija/kamate-ne-smiju-ugroziti-privredu-796939,,,"Počelo je drugo poluvrijeme krize: Kada će biti ""odsviran"" kraj?","Nakon pauze prouzrokovane pandemijom koronavirusa, u petak je u Bečićima, Crna Gora, počeo deveti Samit ministara finansija, guvernera i direktora poreskih uprava regiona. Brojni eksperti iz region...",,,,-14.75
