Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73391,74991,2022-09-22 23:53:03 EDT,2022-09-22,23:53:03,Link,4,3,0,0,0,0,0,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/507547638044705,"Otkako je Rusija napala Ukrajinu, traju nagađanja i prognoze oko situacije u regiji, odnosno koliko ovaj rat može poglavito utjecati na Srbiju i Bosnu i Hercegovinu.",https://www.slobodna-bosna.ba/vijest/268447/rat_u_ukrajini_tenzije_na_balkanu_vuchic_opravdava_zlochinachku_politiku_slobodana_milosevica_i_vojislava_seselja_dodik_je_kriminalac.html,,,"RAT U UKRAJINI, TENZIJE NA BALKANU: 'Vučić opravdava zločinačku politiku Slobodana Miloševića i Vojislava Šešelja; Dodik je kriminalac…'","Otkako je Rusija napala Ukrajinu, traju nagađanja i prognoze oko situacije u regiji, odnosno koliko ovaj rat može poglavito utjecati na Srbiju i Bosnu i Hercegovinu. ... - RAT U UKRAJINI, TENZIJE NA BALKANU: 'Vučić opravdava zločinačku politiku Slobodana Miloševića i Vojislava Šešelja; Dod...",,,,-6.75
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73391,74991,2022-09-22 23:43:22 EDT,2022-09-22,23:43:22,Link,21,16,1,0,0,0,0,4,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/507541228045346,Na početku je radila kao bolničarka da bi kasnije postala bombaš...,https://www.slobodna-bosna.ba/vijest/268446/zaboravljena_heroina_hrabra_krajiska_djevojka_s_bombama_je_jurisala_na_fasiste_a_nakon_pogibije_usla_je_u_legendu.html,,,"ZABORAVLJENA HEROINA: Hrabra krajiška djevojka s bombama je jurišala na fašiste, a nakon pogibije ušla je u legendu…","'Slobodna Bosna' nastavlja serijal iz povijesti. ... - ZABORAVLJENA HEROINA: Hrabra krajiška djevojka s bombama je jurišala na fašiste, a nakon pogibije ušla je u legendu… | Slobodna Bosna",,,,-1.29
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73391,74991,2022-09-22 23:27:12 EDT,2022-09-22,23:27:12,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/507524878046981,Smijeh je lijek :),https://www.slobodna-bosna.ba/vijest/268445/vic_dana_baba_se_u_crkvi_molila_da_joj_svevisnji_posalje_100_maraka_da_prezivi_do_prvog_u_mjesecu_a_iza_nje_to_chuo_chovic_pa_se_uhvatio_za_novchanik.html,,,"VIC DANA: Baba se u crkvi molila da joj svevišnji pošalje 100 maraka da preživi do prvog u mjesecu, a iza nje to čuo Čović pa se uhvatio za novčanik…","Nasmijte se uz naš odabir vica dana! ... - VIC DANA: Baba se u crkvi molila da joj svevišnji pošalje 100 maraka da preživi do prvog u mjesecu, a iza nje to čuo Čović pa se uhvatio za novčanik… | Slobodna Bosna",,,,-54
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73391,74991,2022-09-22 23:20:50 EDT,2022-09-22,23:20:50,Link,2,0,0,0,0,2,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/507521284714007,Šest golova i pravi spektakl...,https://www.slobodna-bosna.ba/vijest/268444/ludnica_u_istanbulu_turska_tri_puta_gubila_protiv_luksemburga_pa_umalo_pobijedila_pogledajte_golove.html,,,"LUDNICA U ISTANBULU: Turska tri puta gubila protiv Luksemburga, pa umalo pobijedila, pogledajte golove…","Sinoć je odigrano deset susreta petog kola Lige nacija. ... - LUDNICA U ISTANBULU: Turska tri puta gubila protiv Luksemburga, pa umalo pobijedila, pogledajte golove… | Slobodna Bosna",,,,-13.5
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73391,74991,2022-09-22 23:13:36 EDT,2022-09-22,23:13:36,Link,3,1,1,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/507517531381049,Nova promjena vremena...,https://www.slobodna-bosna.ba/vijest/268443/dva_dana_sunca_pa_novi_preokret_evo_kakvo_nas_vrijeme_ochekuje_u_narednih_nekoliko_dana.html,,,"DVA DANA SUNCA, PA NOVI PREOKRET: Evo kakvo nas vrijeme očekuje u narednih nekoliko dana","Danas u Bosni umjereno do pretežno oblačno vrijeme. ... - DVA DANA SUNCA, PA NOVI PREOKRET: Evo kakvo nas vrijeme očekuje u narednih nekoliko dana | Slobodna Bosna",,,,-9
ALO Online BA,ALOONLINE.BA,100071652637645,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11395,11906,2022-09-22 23:00:05 EDT,2022-09-22,23:00:05,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/192092453182549,Ovo je san svake domaćice,https://aloonline.ba/zena/savjeti/ciscenje-rerne-trik/,,,SJAJAN TRIK Za samo jedan minut skinite tvrdokornu masnoću iz rerne (VIDEO),Nevjerovatno jednostavan način da za samo minut otklonite tvrdokornu masnoću sa svoje rerne i da ona ponovo zablista.,,,,-46
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188935,204802,2022-09-22 22:31:02 EDT,2022-09-22,22:31:02,Link,12,9,2,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5116979578406543,Ustavni sud Bosne i Hercegovine raspravljao je na osnovu zahtjeva šest delegata Doma naroda Parlamentarne skupštine BiH,https://www.oslobodjenje.ba/vijesti/bih/osporen-zakon-o-nepokretnoj-imovini-republike-srpske-a-i-svaki-ce-naredni-pokusaj-rs-a-da-dokine-prava-bih-794655,,,"Osporen Zakon o nepokretnoj imovini Republike Srpske, a i svaki će naredni pokušaj RS-a da dokine prava BiH",Ustavni sud Bosne i Hercegovine raspravljao je na osnovu zahtjeva šest delegata Doma naroda Parlamentarne skupštine BiH,,,,-4.5
Biscani.net,portalbiscani,101820526552763,MEDIA_NEWS_COMPANY,BA,"Lokalni portal grada Bihaća, koji postoji 16 godina i ima epitet najposjećenijeg i najuspješnijeg portala u Unsko-sanskom kantonu. Jedini portal sa verificiranom facebook stranicom u USK. Registrovan portal u Vijeću za štampu i online medije u BiH. ",2010-10-28 08:34:38,229858,325004,2022-09-22 22:30:11 EDT,2022-09-22,22:30:11,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/101820526552763/posts/5509052355829526,Rakun se raspametio kada mu je atraktivna cura prišla u zoološkom vrtu; ovo je presmiješno!,https://www.biscani.net/rakun-se-raspametio-kada-mu-je-atraktivna-cura-prisla-u-zooloskom-vrtu-ovo-je-presmijesno13/,,,Rakun se raspametio kada mu je atraktivna cura prišla u zoološkom vrtu; ovo je presmiješno!,Rakun se raspametio kada mu je atraktivna cura prišla u zoološkom vrtu; ovo je presmiješno! VIC: Mujo vozi šumom Vozi se Mujo šumom kad pred njega...,,,,-72
Biscani.net,portalbiscani,101820526552763,MEDIA_NEWS_COMPANY,BA,"Lokalni portal grada Bihaća, koji postoji 16 godina i ima epitet najposjećenijeg i najuspješnijeg portala u Unsko-sanskom kantonu. Jedini portal sa verificiranom facebook stranicom u USK. Registrovan portal u Vijeću za štampu i online medije u BiH. ",2010-10-28 08:34:38,229858,325004,2022-09-22 22:00:25 EDT,2022-09-22,22:00:25,Link,5,4,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/101820526552763/posts/5508993322502096,Počeli su kopati oko Moai statua. Ono što su otkrili je najveće otrkiće današnjice!,https://www.biscani.net/poceli-su-kopati-oko-moai-statua-ono-sto-su-otkrili-je-najvece-otrkice-danasnjice16/,,,Počeli su kopati oko Moai statua. Ono što su otkrili je najveće otrkiće današnjice!,"Godinama se smatralo da ove skulpture imaju samo glavu, ali onda su istraživači prokopali oko skulptura i otkrili da imaju i tijelo! Pogledajte...",,,,-8.2
ALO Online BA,ALOONLINE.BA,100071652637645,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11394,11905,2022-09-22 22:00:03 EDT,2022-09-22,22:00:03,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/192086619849799,Saznajte na koje brojeve treba da pazite prema vašem horoskopskom znaku,https://aloonline.ba/astro/horoskop/provjerite-da-li-ove-tvrdnje-vaze-i-kod-vas-nesrecni-brojevi-horoskopskih-znakova/,,,PROVJERITE DA LI OVE TVRDNJE VAŽE I KOD VAS Nesrećni brojevi horoskopskih znakova,"Sujeverja postoje širom svijeta, ali brojevi povezani sa lošom srećom variraju od mjesta do mjesta. Na Zapadu se mnogi plaše broja 13 (u mjeri u kojoj nema 13. spratova u zgradama, niti 13. reda u avionima). U Japanu je najozloglašeniji broj 4, dok se u nekim drugim azijskim kulturama strahuju...",,,,-46
