Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73392,74989,2022-09-21 23:56:35 EDT,2022-09-21,23:56:35,Link,220,188,20,7,0,1,0,0,1,3,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/506663541466448,Predsjednik Srbije Aleksandar Vučić obratio se na Generalnoj skupštini Ujedinjenih nacija na 77. zasjedanju.,https://www.slobodna-bosna.ba/vijest/268303/ivica_puljic_iz_new_yorka_nevjerojatan_bezobrazluk_predsjednika_srbije_aleksandra_vuchica_za_govornicom_opce_skupstine_ujedinjenih_naroda_sram_vas_bilo.html,,,"IVICA PULJIĆ, IZ NEW YORKA: 'Nevjerojatan bezobrazluk predsjednika Srbije Aleksandra Vučića za govornicom Opće skupštine Ujedinjenih naroda, SRAM VAS BILO!'","Predsjednik Srbije Aleksandar Vučić obratio se na Generalnoj skupštini Ujedinjenih nacija na 77. zasjedanju. ... - IVICA PULJIĆ, IZ NEW YORKA: 'Nevjerojatan bezobrazluk predsjednika Srbije Aleksandra Vučića za govornicom Opće skupštine Ujedinjenih naroda, SRAM VAS BILO!' | Slobodna Bosna",,,,8.15
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73392,74989,2022-09-21 23:42:19 EDT,2022-09-21,23:42:19,Link,36,8,3,2,0,1,20,2,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/506649774801158,Bruka uživo...,https://www.slobodna-bosna.ba/vijest/268302/haos_u_rusiji_sin_putinovog_glasnogovornika_pocheo_mucati_kad_je_chuo_da_je_mobiliziran_rekao_je_samo.html,,,"HAOS U RUSIJI: Sin Putinovog glasnogovornika počeo mucati kad je čuo da je mobiliziran, rekao je samo…","Zatim je rekao da se neće odazvati pozivu i da se nije prijavio u dobrovoljce. ... - HAOS U RUSIJI: Sin Putinovog glasnogovornika počeo mucati kad je čuo da je mobiliziran, rekao je samo… | Slobodna Bosna",,,,1.33
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73392,74989,2022-09-21 23:32:09 EDT,2022-09-21,23:32:09,Link,3,0,2,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/506641914801944,Smijeh je lijek :),https://www.slobodna-bosna.ba/vijest/268301/vic_dana_mujo_i_suljo_se_dogovarali_za_koga_ce_glasati_na_izborima_a_onda_urnebes.html,,,"VIC DANA: Mujo i Suljo se dogovarali za koga će glasati na izborima, a onda - urnebes...","Nasmijte se uz naš odabir vica dana! ... - VIC DANA: Mujo i Suljo se dogovarali za koga će glasati na izborima, a onda - urnebes... | Slobodna Bosna",,,,-9
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73392,74989,2022-09-21 23:18:54 EDT,2022-09-21,23:18:54,Link,11,2,1,0,0,0,1,2,0,5,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/506634274802708,Košarkašice Bosne i Hercegovine teško su poražene na otvaranju Svjetskog košarkaškog prvenstva u Australiji.,https://www.slobodna-bosna.ba/vijest/268300/tezak_poraz_kosarkasica_bih_u_australiji_puerto_rico_deklasirao_bosnu_i_hercegovinu_sa_24_poena_razlike.html,,,TEŽAK PORAZ KOŠARKAŠICA BiH U AUSTRALIJI: Puerto Rico deklasirao Bosnu i Hercegovinu sa 24 poena razlike,Košarkašice Bosne i Hercegovine teško su poražene na otvaranju Svjetskog košarkaškog prvenstva u Australiji. ... - TEŽAK PORAZ KOŠARKAŠICA BiH U AUSTRALIJI: Puerto Rico deklasirao Bosnu i Hercegovinu sa 24 poena razlike | Slobodna Bosna,,,,-2.45
Klix.ba,Klix.ba,46371241820,MEDIA_NEWS_COMPANY,BA,Najposjećeniji bosanskohercegovački news portal www.klix.ba,2008-12-27 13:48:31,478403,528102,2022-09-21 23:17:37 EDT,2022-09-21,23:17:37,Link,310,125,97,2,2,2,28,12,1,41,,-,0,0,0,N/A,https://www.facebook.com/46371241820/posts/10158732139961821,"Nažalost, nisu opravdale ulogu favoritkinja u ovoj utakmici",https://www.klix.ba/sport/kosarka/kosarkasice-bih-dozivjele-tezak-poraz-protiv-portorika-na-startu-svjetskog-prvenstva/220922001?utm_medium=Status&utm_source=Facebook&utm_content=220922001&utm_campaign=Klix.ba+Facebook+status,https://www.klix.ba/sport/kosarka/kosarkasice-bih-dozivjele-tezak-poraz-protiv-portorika-na-startu-svjetskog-prvenstva/220922001,,Košarkašice BiH doživjele težak poraz protiv Portorika na startu Svjetskog prvenstva,Ženska košarkaška reprezentacija Bosne i Hercegovine doživjela je težak poraz od Portorikinja (58:84) na otvaranju Svjetskog prvenstva u Australiji.,,,,2.74
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73392,74989,2022-09-21 23:10:21 EDT,2022-09-21,23:10:21,Link,4,3,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/506628424803293,Nova promjena vremena...,https://www.slobodna-bosna.ba/vijest/268299/bolestan_bi_se_razbolio_evo_kakvo_nas_vrijeme_ochekuje_u_narednih_nekoliko_dana.html,,,BOLESTAN BI SE RAZBOLIO: Evo kakvo nas vrijeme očekuje u narednih nekoliko dana,Danas u Bosni umjereno do pretežno oblačno vrijeme. ... - BOLESTAN BI SE RAZBOLIO: Evo kakvo nas vrijeme očekuje u narednih nekoliko dana | Slobodna Bosna,,,,-6.75
ALO Online BA,ALOONLINE.BA,100071652637645,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11394,11905,2022-09-21 23:00:02 EDT,2022-09-21,23:00:02,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/191933149865146,"Piletina se može i ne mora ohladiti do kraja, zavisi od vaše želje",https://aloonline.ba/zena/recepti/hladna-pileca-salata-svi-ce-htjeti-jos/,,,HLADNA PILEĆA SALATA Svi će htjeti još!,"Pileća salata dobrodošla je kao odličan prijedlog za jelo ukoliko želite nešto jednostavno, zdravo i hranjivo.",,,,-22
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188932,204791,2022-09-21 23:00:01 EDT,2022-09-21,23:00:01,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5114208635350304,Mladi evropski ambasadori ističu da je aktivizam najmoćnija snaga za postizanje društvenih promjena s ciljem širenja vrijednosti na kojim počiva Evropska unija,https://www.oslobodjenje.ba/vijesti/bih/platforma-mladi-evropski-ambasadori-yea-mi-smo-buducnost-i-donosimo-promjene-793673,,,Platforma Mladi evropski ambasadori (YEA): Mi smo budućnost i donosimo promjene,Mladi evropski ambasadori ističu da je aktivizam najmoćnija snaga za postizanje društvenih promjena s ciljem širenja vrijednosti na kojim počiva Evropska unija,,,,-108
Nezavisne novine,NezavisneNovine,113768761998175,MEDIA_NEWS_COMPANY,BA,Nema potrebe da čitate između redova. Budite na pravoj adresi,2010-05-15 06:50:18,284536,277028,2022-09-21 22:46:25 EDT,2022-09-21,22:46:25,Link,27,8,15,0,1,0,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/113768761998175/posts/8089523284422643,Portoriko prejak za bh. košarkašice na otvaranju SP ⬇,https://www.nezavisne.com/sport/kosarka/Portoriko-prejak-za-bh-kosarkasice-na-otvaranju-SP/736975,,,Portoriko prejak za bh. košarkašice na otvaranju SP,Ženska košarkaška reprezentacija Bosne i Hercegovine poražena je u prvoj utakmici na Svjetskom prvenstvu u Australiji.,,,,-2.7
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188932,204791,2022-09-21 22:36:12 EDT,2022-09-21,22:36:12,Link,30,14,9,0,0,0,2,0,0,5,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5114714808633020,"Nakon poraza medijima su se obratili selektor Goran Lojo i Matea Tavić, plejmejker bh. tima",https://sport1.oslobodjenje.ba/s1/kosarka/reprezentacija/lojo-nakon-poraza-imali-smo-problema-sa-jones-ali-to-ne-moze-biti-alibi-niti-izgovor-794611,,,"Lojo nakon poraza: Imali smo problema sa Jones, ali to ne može biti alibi, niti izgovor",Bosna i Hercegovina je poražena od Portorika na otvaranju SP u Australiji rezultatom 82:54.,,,,-1.8
