Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74987,2022-09-20 23:55:02 EDT,2022-09-20,23:55:02,Link,68,12,29,1,0,2,24,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/505757031557099,Ni ime mu ne znaju...,https://www.slobodna-bosna.ba/vijest/268146/nova_bruka_predsjednika_hrvatske_sky_news_preimenovao_zorana_milanovica_nazvali_su_ga.html,,,"NOVA BRUKA PREDSJEDNIKA HRVATSKE: Sky News preimenovao Zorana Milanovića, nazvali su ga…","Na sprovodu kraljice Elizabete bio je i predsjednik Hrvatske Zoran Milanović. ... - NOVA BRUKA PREDSJEDNIKA HRVATSKE: Sky News preimenovao Zorana Milanovića, nazvali su ga… | Slobodna Bosna",,,,2.19
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74987,2022-09-20 23:45:15 EDT,2022-09-20,23:45:15,Link,13,12,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/505749858224483,"Kishida, koji dolazi iz Hirošime, prvog grada u povijesti na koji je bačena atomska bomba, također je osudio prijetnju Rusije nuklearnim oružjem.",https://www.slobodna-bosna.ba/vijest/268145/burno_na_sjednici_generalne_skupstine_un_a_njemachki_kancelar_olaf_sholz_pozvao_vladimira_putina_da_prizna.html,,,BURNO NA SJEDNICI GENERALNE SKUPŠTINE UN-a: Njemački kancelar Olaf Sholz pozvao Vladimira Putina da prizna…,"Kishida, koji dolazi iz Hirošime, prvog grada u povijesti na koji je bačena atomska bomba, također je osudio prijetnju Rusije nuklearnim oružjem. ... - BURNO NA SJEDNICI GENERALNE SKUPŠTINE UN-a: Njemački kancelar Olaf Sholz pozvao Vladimira Putina da prizna… | Slobodna Bosna",,,,-2.38
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188931,204776,2022-09-20 23:40:03 EDT,2022-09-20,23:40:03,Link,5,1,1,2,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5111526708951830,Sva postrojenja za proizvodnju i distribuciju toplotne energije pogonski su spremna,https://www.oslobodjenje.ba/vijesti/sarajevo/gradani-nemaju-razloga-za-zabrinutost-toplane-sarajevo-spremne-za-sezonu-grijanja-evo-kada-ce-krenuti-s-isporukom-toplotne-energije-prema-gradanima-793992,,,"Nema razloga za zabrinutost: ""Toplane - Sarajevo"" spremne, evo kada će početi grijanje",Sva postrojenja za proizvodnju i distribuciju toplotne energije pogonski su spremna,,,,-10.2
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74987,2022-09-20 23:35:59 EDT,2022-09-20,23:35:59,Link,12,4,0,2,0,0,0,5,1,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/505745274891608,"Na gublište u blizini katoličke crkve dovedeno je 67 nedužnih civila, odraslih muškaraca Bošnjaka i Hrvata...",https://www.slobodna-bosna.ba/vijest/268144/brutalni_masakr_u_krajini_arkanovi_tigrovi_pochinili_su_monstruozan_zlochin_nevini_ljudi_su_likvidirani_pred_farovima_kamiona_ovo_su_svjedochenja_prezivjelih.html,,,"BRUTALNI MASAKR U KRAJINI: Arkanovi 'Tigrovi' počinili su monstruozan zločin, nevini ljudi su likvidirani pred farovima kamiona, ovo su svjedočenja preživjelih...","'Slobodna Bosna' nastavlja serijal iz povijesti. ... - BRUTALNI MASAKR U KRAJINI: Arkanovi 'Tigrovi' počinili su monstruozan zločin, nevini ljudi su likvidirani pred farovima kamiona, ovo su svjedočenja preživjelih... | Slobodna Bosna",,,,-2.58
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74987,2022-09-20 23:30:07 EDT,2022-09-20,23:30:07,Link,4,1,2,0,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/505742518225217,Smijeh je lijek :),https://www.slobodna-bosna.ba/vijest/268143/vic_dana_mujo_i_suljo_se_zarakijali_a_onda_krenu_pricha_o_ljubavnicama_i_krizi.html,,,"VIC DANA: Mujo i Suljo se zarakijali, a onda krenu priča o ljubavnicama i krizi…","Nasmijte se uz naš odabir vica dana! ... - VIC DANA: Mujo i Suljo se zarakijali, a onda krenu priča o ljubavnicama i krizi… | Slobodna Bosna",,,,-7.75
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74987,2022-09-20 23:20:43 EDT,2022-09-20,23:20:43,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/505737984892337,Bayern je nedavno izgubio u bavarskom derbiju od Augsburga sa 1:0 u meču sedmog kola Bundeslige. Klub iz Munchena ne zna za pobjedu u nacionalnom šampionatu u posljednja četiri meča i zauzima tek peto mjesto na tabeli.l,https://www.slobodna-bosna.ba/vijest/268142/bomba_iz_munchena_salihamidzic_na_mjesto_nagelsmanna_u_bayern_dovodi_poznato_trenersko_ime.html,,,BOMBA IZ MUNCHENA: Salihamidžić na mjesto Nagelsmanna u Bayern dovodi poznato trenersko ime…,Bayern je nedavno izgubio u bavarskom derbiju od Augsburga sa 1:0 u meču sedmog kola Bundeslige. Klub iz Munchena ne zna za pobjedu u nacionalnom šampionatu u posljednja četiri meča i zauzima tek peto mjesto na tabeli. ... - BOMBA IZ MUNCHENA: Salihamidžić na mjesto Nagelsmanna u Bayern dovodi...,,,,-31
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188931,204776,2022-09-20 23:20:06 EDT,2022-09-20,23:20:06,Link,34,9,16,2,1,0,5,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5111525718951929,Povećana je kazna zatvora za izbjegavanje služenja vojnog roka za vrijeme mobilizacije,https://www.oslobodjenje.ba/vijesti/svijet/rusija-poostrava-kriterije-evo-kolike-su-kazne-za-izbjegavanje-vojne-mobilizacije-794010,,,Rusija pooštrava kriterije: Evo kolike su kazne za izbjegavanje vojne mobilizacije,Povećana je kazna zatvora za izbjegavanje služenja vojnog roka za vrijeme mobilizacije,,,,-1.5
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73390,74987,2022-09-20 23:08:12 EDT,2022-09-20,23:08:12,Link,4,4,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/505731128226356,Septembar kakav se odavno ne pamti...,https://www.slobodna-bosna.ba/vijest/268141/stize_nova_promjena_vremena_donosimo_prognozu_za_narednih_nekoliko_dana.html,,,STIŽE NOVA PROMJENA VREMENA: Donosimo prognozu za narednih nekoliko dana,Danas u Bosni umjereno do pretežno oblačno vrijeme. ... - STIŽE NOVA PROMJENA VREMENA: Donosimo prognozu za narednih nekoliko dana | Slobodna Bosna,,,,-7.75
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188931,204776,2022-09-20 23:00:00 EDT,2022-09-20,23:00:00,Link,18,14,3,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5111522958952205,Odluka stupa na snagu danom donošenja i biće objavljena u „Službenom glasniku BiH“ i službenim glasilima entiteta,https://www.oslobodjenje.ba/vijesti/bih/vijece-ministara-bih-zabranilo-izvoz-sumskih-sortimenata-i-proizvoda-od-drveta-do-31-oktobra-794013,,,Vijeće ministara BiH zabranilo izvoz šumskih sortimenata i proizvoda od drveta do 31. oktobra,Odluka stupa na snagu danom donošenja i biće objavljena u „Službenom glasniku BiH“ i službenim glasilima entiteta,,,,-2.83
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188931,204776,2022-09-20 22:40:05 EDT,2022-09-20,22:40:05,Link,10,6,1,0,1,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5111521995618968,To su žene koje vode Fondaciju Udružene žene Banja Luka,https://www.oslobodjenje.ba/vijesti/bih/ambasada-sad-proglasila-heroine-mjeseca-one-daju-podrsku-zenama-i-djeci-u-situacijama-opasnim-po-zivot-794009,,,"Američka ambasada u BiH proglasila heroine mjeseca: ""One daju podršku ženama i djeci u situacijama opasnim po život""",To su žene koje vode Fondaciju Udružene žene Banja Luka,,,,-5.1
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188931,204776,2022-09-20 22:20:00 EDT,2022-09-20,22:20:00,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5111520075619160,Od početka 2018. godine u Bosnu i Hercegovinu je ušlo više od 95 hiljada migranata,https://www.oslobodjenje.ba/vijesti/bih/branko-lobnikar-migracije-se-desavaju-vec-stoljecima-a-danas-se-uz-njih-veze-trgovina-ljudima-794045,,,"Branko Lobnikar: Migracije se dešavaju već stoljećima, a danas se uz njih veže trgovina ljudima","Intervju sa Brankom Lobnikarom gledajte u večerašnjem O Dnevniku u 18.20 sati, a moći ćete ga i pročitati u sutrašnjem broju dnevnog lista Oslobođenje",,,,-51
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,545992,719207,2022-09-20 22:00:05 EDT,2022-09-20,22:00:05,Link,44,20,1,1,0,1,0,21,0,0,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5590465204372009,Uragan Fiona je ojačao i prodire kroz Karibe sa udarima vjetra od 185 kilometara na sat.⤵️,https://balkans.aljazeera.net/videos/2022/9/20/karipski-otoci-stradali-u-naletu-urgana-fiona,,,Karipski otoci stradali u naletu urgana Fiona,Uragan Fiona je ojačao i prodire kroz Karibe sa udarima vjetra od 185 kilometara na sat.,,,,-3.59
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188931,204776,2022-09-20 22:00:01 EDT,2022-09-20,22:00:01,Link,3,2,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5111517755619392,"Fukcionisanje i saradnja na temelju obavještajnog rada je oproban recept u svim demokratskim državama i naša zemlja će slijediti taj put, poručuje Samir Rizvo",https://www.oslobodjenje.ba/vijesti/bih/policijske-agencije-u-bih-dobijaju-nove-alate-jacanje-kapaciteta-u-borbi-protiv-kriminala-793894,,,Policijske agencije u BiH dobijaju nove alate: Jačanje kapaciteta u borbi protiv kriminala,"Fukcionisanje i saradnja na temelju obavještajnog rada je oproban recept u svim demokratskim državama i naša zemlja će slijediti taj put, poručuje Samir Rizvo",,,,-17
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188931,204776,2022-09-20 21:40:01 EDT,2022-09-20,21:40:01,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5111516642286170,Direktno djeluje na ravnotežu otpuštanja i prihvatanja hormona sreće,https://www.oslobodjenje.ba/magazin/zdravlje/ovaj-mineral-direktno-utice-na-raspolozenje-ako-ga-nema-dovoljno-izaziva-anksioznost-i-depresiju-794051,,,Ovaj mineral direktno utiče na raspoloženje: Ako ga nema dovoljno izaziva anksioznost i depresiju,"Magnezij je jedan od esencijalnih minerala neophodnih za funkcionalnost mišića, za nervni sistem, a ima i ogroman uticaj na nivo koncentracije i kvalitet sna. Efikasno djeluje protiv nesanice i pob...",,,,-51
