Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Dnevni avaz,dnevniavaz,191666960908858,MEDIA_NEWS_COMPANY,BA,"https://avaz.ba - Najtiražniji i najutjecajniji printani i internet medij u Bosni i Hercegovini. Najnovije vijesti iz BiH, regiona i svijeta. Avaz ide prvi.",2011-10-25 10:12:47,700894,724600,2022-09-29 23:53:23 EDT,2022-09-29,23:53:23,Link,90,15,54,1,0,1,11,1,7,0,,-,0,0,0,N/A,https://www.facebook.com/191666960908858/posts/5580365978705569,"NA KIOSCIMA ŠIROM BIH / Dato je 45 miliona maraka za uvezivanje staža, zahvaljujući čemu je više od 10.000 ljudi otišlo u zasluženu penziju, govori ministar Nermin Džindić",https://avaz.ba/vijesti/bih/775779/danas-u-dnevnom-avazu-citajte-vojna-industrija-donosit-ce-milijardu-godisnje,,,"Danas u ""Dnevnom avazu"" čitajte: Vojna industrija donosit će milijardu godišnje","U današnjem broju ""Dnevnog avaza"", najtiražnijeg dnevnog lista u BiH čitajte: Vojna industrija donosit će milijardu godišnje",,,,-1.1
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73403,75004,2022-09-29 23:49:25 EDT,2022-09-29,23:49:25,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/514403430692459,"Kako se ruska vojska uglavnom sastoji od vojnih obveznika, dvaput godišnje se mladići od 18 do 27 godina javljaju lokalnom komesarijatu za regrutaciju.",https://www.slobodna-bosna.ba/vijest/269496/umirovljeni_general_najavljuje_slanje_novih_regruta_lose_obuchenih_rezervista_i_neobuchenih_civila_na_ukrajinski_front_gdje_se_borbeno_krvari_vec_osam_mjeseci_recept_je_za_klanje.html,,,"UMIROVLJENI GENERAL NAJAVLJUJE: 'Slanje novih regruta, loše obučenih rezervista i neobučenih civila, na ukrajinski front gdje se borbeno krvari već osam mjeseci recept je za klanje…'","Kako se ruska vojska uglavnom sastoji od vojnih obveznika, dvaput godišnje se mladići od 18 do 27 godina javljaju lokalnom komesarijatu za regrutaciju. ... - UMIROVLJENI GENERAL NAJAVLJUJE: 'Slanje novih regruta, loše obučenih rezervista i neobučenih civila, na ukrajinski front gdje se borbeno ...",,,,-66
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73403,75004,2022-09-29 23:41:50 EDT,2022-09-29,23:41:50,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/514397654026370,"Istraga je pokazala da se nekolicina vozača, koja je vozila Tarinom rutom, sjetila kamiona svijetle boje koji se vozio uz biciklistkinju.",https://www.slobodna-bosna.ba/vijest/269495/jezivo_niko_ne_zna_gdje_je_nestala_djevojka_na_biciklu_a_nakon_sto_je_na_parkingu_pronadjena_zastrasujuca_fotografija_stvari_su_postale_jos_gore.html,,,"JEZIVO: Niko ne zna gdje je nestala djevojka na biciklu, a nakon što je na parkingu pronađena zastrašujuća fotografija, stvari su postale još gore…","'Slobodna Bosna' nastavlja serijal iz povijesti. ... - JEZIVO: Niko ne zna gdje je nestala djevojka na biciklu, a nakon što je na parkingu pronađena zastrašujuća fotografija, stvari su postale još gore… | Slobodna Bosna",,,,-66
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73403,75004,2022-09-29 23:32:39 EDT,2022-09-29,23:32:39,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/514391607360308,Smijeh je lijek :),https://www.slobodna-bosna.ba/vijest/269494/vic_dana_anketar_na_ulici_zaustavio_zenu_a_onda_je_uslijedilo_pitanje_o_seksu.html,,,"VIC DANA: Anketar na ulici zaustavio ženu, a onda je uslijedilo pitanje o seksu…","Nasmijte se uz naš odabir vica dana! ... - VIC DANA: Anketar na ulici zaustavio ženu, a onda je uslijedilo pitanje o seksu… | Slobodna Bosna",,,,-66
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73403,75004,2022-09-29 23:26:07 EDT,2022-09-29,23:26:07,Link,1,0,0,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/514387290694073,Bugarin koji je 247. na ATP listi izgubio je prvi set od favorita koji je 62. na svijetu 6:2.,https://www.slobodna-bosna.ba/vijest/269493/bruka_uzivo_tucha_tenisera_na_kraju_mecha_francuz_nije_mogao_podnijeti_poraz_pogledajte_kako_je_zavrsilo.html,,,"BRUKA UŽIVO: Tuča tenisera na kraju meča, Francuz nije mogao podnijeti poraz, pogledajte kako je završilo...","Bugarin koji je 247. na ATP listi izgubio je prvi set od favorita koji je 62. na svetu 6:2. Ali onda je dobio dva tie brakea i ostvario pobjedu, nakon čega je došlo do sramotne scene. ... - BRUKA UŽIVO: Tuča tenisera na kraju meča, Francuz nije mogao podnijeti poraz, pogledajte kako je završil...",,,,-33
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73403,75004,2022-09-29 23:12:07 EDT,2022-09-29,23:12:07,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/514375930695209,"Kiša ne posustaje, ali...",https://www.slobodna-bosna.ba/vijest/269492/danas_je_kisilo_i_sutra_ce_donosimo_vremensku_prognozu_za_narednih_nekoliko_dana.html,,,"DANAS JE KIŠILO, I SUTRA ĆE…: Donosimo vremensku prognozu za narednih nekoliko dana","Danas u Bosni i Hercegovini umjereno do pretežno oblačno vrijeme. ... - DANAS JE KIŠILO, I SUTRA ĆE…: Donosimo vremensku prognozu za narednih nekoliko dana | Slobodna Bosna",,,,-66
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,189084,205066,2022-09-29 23:00:04 EDT,2022-09-29,23:00:04,Link,4,2,1,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5137176636386837,USKOK je jučer objavio priopćenje u kojem detaljno opisuje izrađivali i prodavali lažne covid-potvrde. Navode da su nezakonito izdali i prodali 232 covid-potvrde te na tome zaradili najmanje 24.440 eura i 12.370 kuna,https://www.oslobodjenje.ba/vijesti/region/tony-cetinski-u-centru-velike-afere-kupio-lazne-covid-potvrde-uskok-ce-goniti-njega-i-jos-230-osoba-za-davanje-mita-796765,,,"Tony Cetinski u centru velike afere: Kupio lažne covid-potvrde, USKOK će goniti njega i još 230 osoba za davanje mita",USKOK je danas objavio priopćenje u kojem detaljno opisuje izrađivali i prodavali lažne covid-potvrde. Navode da su nezakonito izdali i prodali 232 covid-potvrde te na tome zaradili najmanje 24.440 eura i 12.370 kuna,,,,-16.5
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11398,11910,2022-09-29 23:00:02 EDT,2022-09-29,23:00:02,Link,5,2,3,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193185586406569,"Stres može da preuzme nečiji život, i zato smo pronašli šest biljaka koje bi mogle da vam pomognu da se smirite",https://aloonline.ba/zena/zdravlje/ublazice-povecanu-srcanu-aktivnost-sest-biljaka-koje-mogu-da-pomognu-u-borbi-sa-stresom/,,,UBLAŽIĆE POVEĆANU SRČANU AKTIVNOST Šest biljaka koje mogu da pomognu u borbi sa stresom,"Ovih šest biljaka će ublažiti napetost mišića i svaku povećanu srčanu aktivnost. Stres može da preuzme nečiji život, i zato smo pronašli šest biljaka koje bi mogle da vam pomognu da se smirite. 1. Lavanda Lavanda je poznata po svom divnom mirisu i prelijepoj ljubičastoj boji. Ako imate ...",,,,-4.2
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11398,11910,2022-09-29 22:00:05 EDT,2022-09-29,22:00:05,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/193179993073795,Ovnovi nikada nisu u potpunosti posvećeni jer obožavaju da skitaju,https://aloonline.ba/astro/horoskop/mnogi-nisu-svjesni-svojih-mana-ovi-horoskopski-znaci-se-najcesce-razvode/,,,MNOGI NISU SVJESNI SVOJIH MANA Ovi horoskopski znaci se najčešće razvode,"Postoje ljudi kojima astrologija nalaže najviše razvoda i raskida, a u kojima će oni biti glavni krivci. Mnogi od nas nisu svjesni svojih mana, koje jednom moraju da isplivaju na površinu, a često mogu da budu i razlog neuspjelih ljubavi. Evo o kojim znacima je riječ: Ovan Ovnovi nikada nisu u...",,,,-42
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,189084,205066,2022-09-29 22:00:05 EDT,2022-09-29,22:00:05,Link,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5137059629731871,Kraljica je preminula 8. septembra u dvorcu Balmoral u Škotskoj,https://www.oslobodjenje.ba/vijesti/svijet/objavljen-uzrok-smrti-kraljice-elizabete-ii-796752,,,Objavljen uzrok smrti kraljice Elizabete II,"Izvod iz matične knjige umrle kraljice potpisala je njena ćerka princeza kraljevska, koja je bila sa njom u poslednja 24 sata",,,,-33
