Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
ALO Online BA,ALOONLINE.BA,100071652637645,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11395,11906,2022-09-23 23:00:07 EDT,2022-09-23,23:00:07,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/192254396499688,Auta se povlače sa tržišta u Americi,https://aloonline.ba/razonoda/tesla-povlaci-automobil-greska-senzor/,,,"TESLA POVLAČI 1,1 MILION AUTOMOBILA Imaju grešku u sistemu za automatsko spuštanje prozora","Tesla povlači 1.1 milion vozila zbog greške u sistemu za automatsko spuštanje prozora, što može dovesti do toga da vozilo ne otkrije prepreku i da dođe do povrede. Sistem za automatsko spuštanje prozora radi tako što sprječava povrede putnika u vozilu, zaustavljanjem prozora ako se naiđe n...",,,,-42
MojaBanjaluka.info,mojabanjaluka.info,100063958333893,MEDIA_NEWS_COMPANY,BA,"Portal MojaBanjaluka.info jedan je od 11 portala koji čine mrežu ""PROMO TIMA""",2014-09-10 21:06:00,39824,42730,2022-09-23 22:28:19 EDT,2022-09-23,22:28:19,Link,112,95,12,2,2,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063958333893/posts/479492217526052,,http://mojabanjaluka.info/novost/policijska-racija-nakon-tuce-u-gospodskoj-video-162318/162318,,,Policijska racija nakon tuče u Gospodskoj (VIDEO),"Noćas je u klubu ""Boom boom room"" došlo do tuče nakon čega je intervenisala i policija, saznaje mojabanjaluka.info. Tuča je počela u ovom lokalu, a koškanje i gurkanje se nastavilo i u Gospodskoj ulici. Ipak, policija je brzo reagovala. Tri patrole su se ""u sekun",,,,3.73
ALO Online BA,ALOONLINE.BA,100071652637645,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11395,11906,2022-09-23 22:00:05 EDT,2022-09-23,22:00:05,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/192247639833697,Amanda je obukla prelijepo plavo-crno odijelo,https://aloonline.ba/zena/savjeti/britanska-dzepna-venera-pokazala-kako-treba-da-izgleda-jedna-poslovna-kombinacija/,,,"Britanska ""džepna Venera"" pokazala kako treba da izgleda jedna poslovna kombinacija?","Mnoštvo žena ima problem kada je u pitanju poslovna kombinacija. Međutim, postoji nekoliko ""modnih pravila"" kojih se pridržavaju poslovne žene.",,,,-42
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,545949,719392,2022-09-23 22:00:04 EDT,2022-09-23,22:00:04,Link,123,35,64,0,0,2,21,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5599124846839378,"Ukrajina i Zapad ne priznaju referendum i upozoravaju da je riječ o kršenju međunarodnog prava, a članice NATO-a poručuju da nikada neće priznati nelegalnu i nelegitimnu aneksiju. ⬇",https://balkans.aljazeera.net/videos/2022/9/23/starije-osobe-u-lugansku-i-donjecku-uglavnom-zele-pripajanje-rusiji,,,Starije osobe u Lugansku i Donjecku uglavnom žele pripajanje Rusiji,"Ukrajina i Zapad ne priznaju referendum i upozoravaju da je riječ o kršenju međunarodnog prava, a članice NATO-a poručuju da nikada neće priznati nelegalnu i nelegitimnu aneksiju.",,,,-2
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188939,204821,2022-09-23 22:00:04 EDT,2022-09-23,22:00:04,Link,8,4,1,1,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5119900024781165,"Ovaj dolazak predstavlja najveće raspoređivanje ratnih brodova u tom području. Radi se o snaženju ""strateških kapaciteta""",https://www.oslobodjenje.ba/vijesti/svijet/poruka-sjevernoj-koreji-i-kimu-u-juznu-koreju-uplovio-mocni-americki-nosac-aviona-794970,,,Poruka Sjevernoj Koreji i Kimu - U Južnu Koreju uplovio moćni američki nosač aviona,"Ovaj dolazak predstavlja najveće raspoređivanje ratnih brodova u tom području. Radi se o snaženju ""strateških kapaciteta""",,,,-8.12
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188939,204821,2022-09-23 21:30:04 EDT,2022-09-23,21:30:04,Link,2,1,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5119898578114643,Putin je u srijedu izdao naredbu o djelimičnoj vojnoj mobilizaciji u Rusiji,https://www.oslobodjenje.ba/vijesti/svijet/oglasilo-se-rusko-ministarstvo-odbrane-evo-ko-ce-biti-osloboden-vojne-sluzbe-795062,,,Oglasilo se rusko ministarstvo odbrane: Evo ko će biti oslobođen vojne službe,Putin je u srijedu izdao naredbu o djelimičnoj vojnoj mobilizaciji u Rusiji,,,,-32.5
STAV,Stav.casopis,100063557261268,MEDIA_NEWS_COMPANY,BA,Medijska kuća,2015-03-07 22:52:00,34449,35988,2022-09-23 21:05:57 EDT,2022-09-23,21:05:57,Link,25,19,1,0,0,0,0,2,0,3,,-,0,0,0,N/A,https://www.facebook.com/100063557261268/posts/511069471021624,"“Osjećam ovo kao slavlje. To je upravo ono što sam želio na kraju, upravo ono čemu sam se nadao”, rekao je Federer brišući suze u intervjuu nakon meča pred publikom koja mu je dugo aplaudirala. Plakao je Federer, plako je Nadal, plakali su mnogi... bio je to emotivni oproštaj od jednog od najvećih sportista svih vremena.",https://stav.ba/vijest/odlazak-rogera-federera-suze-i-smijeh-za-kraj-jedne-od-najvecih-sportskih-karijera/12171,,,Odlazak Rogera Federera: Suze i smijeh za kraj jedne od najvećih sportskih karijera,"“Osjećam ovo kao slavlje. To je upravo ono što sam želio na kraju, upravo ono čemu sam se nadao”, rekao je Federer brišući suze u intervjuu nakon meča pred publikom koja mu je dugo aplaudirala. Plakao je Federer, plako je Nadal, plakali su mnogi... bio je to emotivni oproštaj od jednog o...",,,,-2.4
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188939,204821,2022-09-23 21:00:03 EDT,2022-09-23,21:00:03,Link,36,27,9,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5119894751448359,"Nastavićemo da ih pomažemo obukom i opremom, poručili su",https://www.oslobodjenje.ba/vijesti/bih/ambasada-sad-a-cestitala-na-uspjehu-os-bih-ponosni-smo-sto-smo-ih-podrzavali-do-zavrsne-nato-evaluacije-795110,,,Ambasada SAD-a čestitala na uspjehu OS BiH: Ponosni smo što smo ih podržavali do završne NATO evaluacije,"Nastavićemo da ih pomažemo obukom i opremom, poručili su",,,,-1.81
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188939,204821,2022-09-23 20:40:03 EDT,2022-09-23,20:40:03,Link,83,34,32,3,4,0,3,0,0,7,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5119893388115162,Jedan od zahtjeva Sindikata kroz novi kolektivni ugovor su i veće plate rudarima,https://www.oslobodjenje.ba/vijesti/bih/rudari-u-fbih-za-ponedjeljak-najavili-strajk-slijedi-obustava-rada-ukoliko-ne-bude-novca-za-povecanje-plata-795008,,,Rudari u FBiH za ponedjeljak najavili štrajk: Slijedi obustava rada ukoliko ne bude novca za povećanje plata,Jedan od zahtjeva Sindikata kroz novi kolektivni ugovor su i veće plate rudarima.,,,,1.28
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188939,204821,2022-09-23 20:20:00 EDT,2022-09-23,20:20:00,Link,3,0,0,1,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5119875478116953,Okružno tužilaštvo žaliće se na presudu Osnovnog suda Banjaluka u predmetu Darko Golić,https://www.oslobodjenje.ba/vijesti/crna-hronika/darko-golic-osloboden-zbog-greske-tuzilastva-uhapsen-je-u-januaru-2020-godine-zbog-sumnje-da-je-bludnicio-nad-pacijentom-795077,,,Darko Golić oslobođen zbog greške tužilaštva: Uhapšen je u januaru 2020. godine zbog sumnje da je bludničio nad pacijentom,Okružno tužilaštvo žaliće se na presudu Osnovnog suda Banjaluka u predmetu Darko Golić,,,,-21.67
