Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73487,74980,2022-09-12 23:57:05 EDT,2022-09-12,23:57:05,Link,11,6,3,0,1,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/498785038920965,Fotografija je prvi put objavljena u magazinu “Duga” 1975. godine i predstavljana kao najstarija uspomena tadašnjeg maršala SFRJ.,https://www.slobodna-bosna.ba/vijest/266988/izgleda_neprepoznatljiivo_ovo_je_najstarija_titova_fotografija_uhvacen_je_u_neobichnom_izdanju.html,,,"IZGLEDA NEPREPOZNATLJIIVO: Ovo je najstarija Titova fotografija, uhvaćen je u neobičnom izdanju…","O mladosti bivšeg predsjednika SFR Jugoslavije Josipa Broza Tita malo se zna. ... - IZGLEDA NEPREPOZNATLJIIVO: Ovo je najstarija Titova fotografija, uhvaćen je u neobičnom izdanju… | Slobodna Bosna",,,,-2.55
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73487,74980,2022-09-12 23:46:46 EDT,2022-09-12,23:46:46,Link,11,7,2,0,0,2,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/498779842254818,Snimci s lica mjesta...,https://www.slobodna-bosna.ba/vijest/266987/gori_na_istoku_eksplozije_u_armeniji_chuju_se_detonacije_duz_cijele_granice_s_azerbejdzanom_video.html,,,"GORI NA ISTOKU: Eksplozije u Armeniji, čuju se detonacije duž cijele granice s Azerbejdžanom (VIDEO)","Posljednji su puta dvije zemlje ratovale prije dvije godine u Karabahu, regiji koju kontroliraju Armenci, ali se nalazi u Azerbejdžanu. ... - GORI NA ISTOKU: Eksplozije u Armeniji, čuju se detonacije duž cijele granice s Azerbejdžanom (VIDEO) | Slobodna Bosna",,,,-2.55
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73487,74980,2022-09-12 23:34:22 EDT,2022-09-12,23:34:22,Link,2,0,0,0,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/498772132255589,Smijeh je lijek :),https://www.slobodna-bosna.ba/vijest/266986/vic_dana_fata_se_tek_udala_pa_se_odmah_pozalila_jaranici_na_svekrvu.html,,,"VIC DANA: Fata se tek udala, pa se odmah požalila jaranici na svekrvu…","Nasmijte se uz naš odabir vica dana! ... - VIC DANA: Fata se tek udala, pa se odmah požalila jaranici na svekrvu… | Slobodna Bosna",,,,-14
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188835,204614,2022-09-12 23:30:00 EDT,2022-09-12,23:30:00,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5089644074473427,"Za aktivnosti i projekte 13 organizacija, ovoga puta, dodijeljeno je 166.300 KM",https://www.oslobodjenje.ba/vijesti/sarajevo/vlada-ks-podijelila-166-000-km-nevladinim-organizacijama-poznato-ko-je-sve-dobio-novac-792081,,,Vlada KS podijelila 166.000 KM nevladinim organizacijama: Poznato ko je sve dobio novac,"Predsjedavajući Skupštine Kantona Sarajevo Elvedin Okerić podijelio je predstavnicima nevladinih organizacija odluke o dodjeli sredstava iz Budžeta KS za ovu godinu, kojim će se realizirati proje...",,,,-72
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73487,74980,2022-09-12 23:22:10 EDT,2022-09-12,23:22:10,Link,5,1,0,0,0,0,0,4,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/498765258922943,Užas u sudijskoj nadoknadi...,https://www.slobodna-bosna.ba/vijest/266985/dramatichni_prizori_iz_grchke_golman_reprezentacije_hrvatske_tesko_stradao_iznijeli_su_ga_na_nosilima_video.html,,,"DRAMATIČNI PRIZORI IZ GRČKE: Golman reprezentacije Hrvatske teško stradao, iznijeli su ga na nosilima… (VIDEO)","Nakon udarca ostao je ležati na terenu prije nego što je na nosilima iznesen. ... - DRAMATIČNI PRIZORI IZ GRČKE: Golman reprezentacije Hrvatske teško stradao, iznijeli su ga na nosilima… (VIDEO) | Slobodna Bosna",,,,-5.6
Slobodna Bosna,SlobodnaBosna,100063684206728,NEWS_SITE,BA,"Nezavisna informativna revija

www.slobodna-bosna.ba",2011-03-16 12:19:16,73487,74980,2022-09-12 23:10:28 EDT,2022-09-12,23:10:28,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063684206728/posts/498758168923652,Nagli pad temperature...,https://www.slobodna-bosna.ba/vijest/266984/stize_nova_promjena_vremena_donosimo_prognozu_do_subote.html,,,STIŽE NOVA PROMJENA VREMENA: Donosimo prognozu do subote...,Danas u Bosni i Hercegovini sunčano vrijeme uz malu do umjerenu oblačnost. ... - STIŽE NOVA PROMJENA VREMENA: Donosimo prognozu do subote... | Slobodna Bosna,,,,-56
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188835,204614,2022-09-12 23:00:01 EDT,2022-09-12,23:00:01,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5089640794473755,Nakon što je 34 godine bila profesionalna dvojnica najdugovječnije britanske kraljice,https://www.oslobodjenje.ba/magazin/zanimljivosti/dvojnica-elizabete-ii-napusta-posao-iz-postovanja-prema-preminuloj-kraljici-792090,,,Dvojnica Elizabete II napušta posao iz poštovanja prema preminuloj kraljici,Nakon što je 34 godine bila profesionalna dvojnica najdugovječnije britanske kraljice,,,,-100
ALO Online BA,ALOONLINE.BA,102427898815672,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11371,11887,2022-09-12 23:00:01 EDT,2022-09-12,23:00:01,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/190445086680619,"Drama u novoj sezoni ""Zadruge"" ne prestaje",https://aloonline.ba/poznati/mitrovic-najavio-diskvalifikaciju-jednog-zadrugara/,,,"MITROVIĆ NAJAVIO DISKVALIFIKACIJU JEDNOG ZADRUGARA Vlasnik ""Pinka"" primoran na rigorozne mjere","Željko Mitrović, vlasnik televizije ""Pink"", razmišlja o diskvalifikaciji zadrugara Uroša Ćertića.",,,,-28
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188835,204614,2022-09-12 22:30:00 EDT,2022-09-12,22:30:00,Link,37,3,14,0,0,0,14,0,5,1,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5089666707804497,"Želimo da okončamo rat, ali prostor i prilike su se promijenili",https://www.oslobodjenje.ba/vijesti/svijet/medvedev-rusija-nece-odustati-od-svojih-ciljeva-u-ukrajini-nasi-sadasnji-ultimatumi-su-zagrijavanje-792075,,,"Medvedev: Rusija neće odustati od svojih ciljeva u Ukrajini, naši sadašnji ultimatumi su zagrijavanje","Želimo da okončamo rat, ali prostor i prilike su se promijenili",,,,-1.08
BN Portal,,229937160532143,NEWS_SITE,BA,BN,2014-04-01 09:50:02,125735,232046,2022-09-12 22:15:01 EDT,2022-09-12,22:15:01,Link,7,2,0,0,0,0,0,0,5,0,,-,0,0,0,N/A,https://www.facebook.com/229937160532143/posts/2068075820051592,"Investiciono – razvojna banka (IRB) Republike Srpske odobrila je, bez finansijskog posrednika, milionske kredite za izmirenje obaveza preduzeća iz sistema „Elektroprivrede RS“ prema preduzećima „Prointer“ i „Integral inženjering“, saznaje portal CAPITAL.",https://www.rtvbn.com/4001002/otkupljena-milionska-potrazivanja-integrala-i-prointera-od-elektroprivrede,,,Otkupljena milionska potraživanja „Integrala“ i „Prointera“ od „Elektroprivrede“ | BN,"Investiciono-razvojna banka (IRB) Republike Srpske odobrila je, bez finansijskog posrednika, milionske kredite za izmirenje obaveza preduzeća iz sistema „Elektroprivrede Republike Srpske“ prema preduzećima „Prointer“ i „Integral inženjering“, saznaje portal CAPITAL.",,,,-10.71
